frame,timeSec,segIndex,t,x,y,z,frameDurMs,activeCount,sumIntensity,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31
75,1.1250,37,0.844,1.578,0.000,1.000,20,8,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,19,2,3,63,78,6
76,1.1400,38,0.000,1.500,0.000,1.000,20,8,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,18,1,4,71,71,4
77,1.1550,38,0.844,1.078,0.000,1.000,20,7,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,8,0,20,99,31,1
78,1.1700,39,0.000,1.000,0.000,1.000,20,6,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,6,0,25,100,25,0
79,1.1850,39,0.844,0.578,0.000,1.000,20,6,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,19,2,0,63,78,6,0
80,1.2000,40,0.000,0.500,0.000,1.000,20,6,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,1,0,71,71,4,0
81,1.2150,40,0.844,0.078,0.000,1.000,20,5,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8,0,0,99,31,1,0
82,1.2300,41,0.000,0.000,0.000,1.000,20,4,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,6,0,0,100,25,0,0
83,1.2450,41,0.844,0.000,0.000,0.156,20,8,156,0,0,0,0,0,0,0,0,21,5,0,0,84,21,0,0,0,0,0,0,0,0,0,0,4,1,0,0,16,4,0,0
84,1.2600,42,0.000,0.000,0.000,0.000,20,4,156,0,0,0,0,0,0,0,0,25,6,0,0,100,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
